 ,X,Y
1,330.730,23.598
2,281.403,27.790
3,357.423,29.577
4,405.466,55.791
5,206.348,75.584
6,386.500,47.500
7,423.500,79.500
8,431.014,86.464
9,201.689,88.123
10,194.500,95.500
11,440.559,100.559
12,430.738,106.262
13,440.900,116.900
14,333.745,262.108
15,183.654,137.987
16,180.500,128.500
17,446.000,131.000
18,446.250,138.000
19,446.000,147.500
20,448.944,153.722
21,186.500,156.000
22,446.386,166.523
23,186.500,164.500
24,185.600,171.800
25,186.500,180.000
26,442.500,190.000
27,187.500,192.000
28,249.500,194.167
29,244.300,198.300
30,187.500,199.000
31,188.500,203.500
32,440.500,208.423
33,189.500,211.000
34,190.900,217.100
35,192.500,222.500
36,342.864,280.773
37,414.500,341.500
38,418.500,343.500
39,427.900,345.000
40,411.833,345.500
41,433.900,344.900
42,243.500,346.500
43,241.500,347.500
44,415.500,347.500
45,229.500,357.000
46,419.500,348.500
47,432.500,349.500
48,436.500,349.500
49,416.500,350.500
50,420.500,350.500
51,434.000,352.000
52,419.500,352.500
53,428.000,352.500
54,423.500,354.500
55,430.833,354.167
56,427.500,355.500
57,426.125,359.375
58,434.500,356.500
59,422.500,357.500
60,436.500,357.500
61,431.500,362.250
62,436.167,362.833
63,222.750,369.250
64,438.000,369.000
65,223.500,374.500
66,221.700,383.000
67,446.167,382.500
68,222.500,392.000
69,156.176,454.901
70,449.000,399.000
71,446.000,404.000
72,462.000,417.750
73,464.500,416.500
74,448.500,417.500
75,464.500,420.000
76,466.500,420.500
77,313.341,427.341
78,458.500,422.500
79,461.500,422.500
80,464.000,422.500
81,466.500,422.500
82,476.500,423.500
83,462.278,425.722
84,458.000,425.500
85,476.500,428.375
86,479.500,427.500
87,482.500,426.500
88,454.167,431.833
89,314.335,452.257
90,501.500,441.500
