 ,X,Y
1,336.941,31.629
2,312.900,23.300
3,207.028,71.915
4,258.500,36.500
5,402.167,46.167
6,248.500,47.500
7,392.000,50.500
8,408.800,61.800
9,415.000,57.500
10,425.509,75.472
11,426.036,87.326
12,205.500,82.500
13,434.500,91.000
14,188.167,95.167
15,438.417,112.315
16,425.500,100.000
17,334.612,260.345
18,440.500,107.500
19,266.500,109.500
20,245.500,119.500
21,183.007,134.858
22,180.500,125.500
23,444.167,134.000
24,444.500,140.000
25,444.500,145.000
26,445.643,149.786
27,185.500,155.500
28,448.167,158.500
29,184.500,160.500
30,183.000,164.000
31,442.500,162.500
32,443.528,168.806
33,183.188,172.188
34,184.500,184.000
35,439.750,183.250
36,254.500,185.500
37,184.682,191.955
38,439.500,189.500
39,438.500,193.500
40,437.833,197.500
41,186.500,198.500
42,186.500,203.500
43,436.500,204.000
44,375.500,205.500
45,187.500,208.000
46,435.500,209.500
47,188.500,211.500
48,280.000,211.500
49,189.700,218.500
50,420.500,313.500
51,421.500,315.500
52,428.500,317.500
53,423.500,322.000
54,423.500,325.500
55,428.750,326.250
56,430.500,329.500
57,428.500,330.500
58,433.500,335.500
59,435.500,336.500
60,433.500,339.000
61,437.000,349.000
62,444.000,358.500
63,436.300,362.300
64,437.214,368.929
65,439.500,371.500
66,442.500,373.500
67,221.556,381.889
68,447.000,383.500
69,452.000,384.500
70,223.000,391.000
71,446.500,391.500
72,224.500,394.500
73,450.000,395.500
74,155.005,454.279
75,449.167,398.833
76,451.500,402.500
77,455.304,420.239
78,463.000,415.000
79,465.500,414.500
80,449.500,415.500
81,314.141,422.013
82,451.500,418.500
83,465.500,418.500
84,467.500,418.500
85,459.500,420.000
86,467.500,420.500
87,475.500,421.500
88,480.500,422.500
89,443.500,423.500
90,449.500,428.878
91,472.500,424.500
92,483.500,424.500
93,453.000,427.000
94,456.000,426.500
95,493.500,429.500
96,315.325,446.897
